"SLNG_YMD","RT_CD","DPTM","CBN_CD","CHNL","SHPCO_CD","SHIP_CD","TOT_CNT","MKRV_CNT","HOLD_CNT","PREO_CNT","RMN_CNT","CBN_TYP","SWAY_CD","SLNG_TM","REG_ID","REG_DT"
"20230823","RTCJRS","1530","CB310","PLHP0","HXF","SHP01","200","26","0","-1","175","CTFL0","LNCJRS","1530","GUEST","2023-08-22 21:57:15"
"20230823","RTCJWD","0720","CB210","PLHP0","HXF","SHP02","200","34","155","-4","15","CTFL0","LNCJWD","0720","jjpsa","2023-08-23 07:06:08"
"20230823","RTCJWD","1710","CB112","PLHP0","HXF","SHP03","4","6","0","-2","0","CTRM0","LNCJWD","1710","BATCH","2023-08-21 21:18:05"
"20230823","RTRSCJ","0020","CB102","PLHP0","HXF","SHP01","10","6","0","-2","6","CTRM0","LNRSCJ","0020","yscyj","2023-08-22 22:50:34"
"20230823","RTWDCJ","0230","CB210","PLHP0","HXF","SHP02","200","3","199","-2","0","CTFL0","LNWDCJ","0230","wdysm","2023-08-22 21:44:21"
"20230823","RTWDCJ","0230","CB220","PLHP0","HXF","SHP02","120","12","0","-1","109","CTCH0","LNWDCJ","0230","wdysm","2023-08-23 01:35:27"
"20230823","RTWDCJ","0230","CB310","PLHP0","HXF","SHP02","350","32","321","-4","1","CTFL0","LNWDCJ","0230","wdysm","2023-08-23 02:03:28"
"20230823","RTWDCJ","0900","CB310","PLAG0","HXF","SHP03","30","5","0","-1","26","CTFL0","LNWDCJ","0900","dddurortjs","2023-08-22 18:17:37"
"20230823","RTWDCJ","1500","CB104","PLHP0","HXF","SHP02","36","12","4","-1","24","CTRM0","LNWDCJ","1500","wdysm","2023-08-22 23:23:24"
"20230823","RTWDCJ","1500","CB220","PLHP0","HXF","SHP02","120","31","0","-1","90","CTCH0","LNWDCJ","1500","BATCH","2023-08-22 22:46:04"
"20230824","RTCJRS","1530","CB102","PLHP0","HXF","SHP01","10","4","0","-2","8","CTRM0","LNCJRS","1530","BATCH","2023-08-22 13:08:43"
"20230824","RTCJRS","1530","CB310","PLHP0","HXF","SHP01","200","18","0","-2","184","CTFL0","LNCJRS","1530","GUEST","2023-08-23 04:42:47"
"20230824","RTCJRS","1530","CBF00","PLHP0","HXF","SHP01","6","4","0","-2","4","CTRM0","LNCJRS","1530","BATCH","2023-08-23 09:00:39"
"20230824","RTCJWD","0720","CB210","PLHP0","HXF","SHP02","200","32","155","-1","14","CTFL0","LNCJWD","0720","jjbjy","2023-08-23 09:35:41"
"20230824","RTWDCJ","0230","CB210","PLHP0","HXF","SHP02","200","6","155","-1","40","CTFL0","LNWDCJ","0230","BATCH","2023-08-22 14:40:09"
"20230824","RTWDCJ","1500","CB210","PLHP0","HXF","SHP02","200","14","155","-3","34","CTFL0","LNWDCJ","1500","GUEST","2023-08-23 09:38:58"
"20230825","RTCJWD","1710","CB310","PLHP0","HXF","SHP03","120","78","24","-2","20","CTFL0","LNCJWD","1710","wdlsj","2023-08-23 07:37:20"
"20230825","RTWDCJ","0900","CB310","PLHP0","HXF","SHP03","120","39","24","-2","59","CTFL0","LNWDCJ","0900","BATCH","2023-08-23 01:03:33"
"20230825","RTWDCJ","1500","CB102","PLHP0","HXF","SHP02","6","6","2","-2","0","CTRM0","LNWDCJ","1500","BATCH","2023-08-22 14:31:01"
"20230825","RTWDCJ","1500","CBP10","PLHP0","HXF","SHP02","40","14","26","-2","2","CTFL0","LNWDCJ","1500","GUEST","2023-08-23 10:03:27"
"20230826","RTRSCJ","0020","CB1W2","PLHP0","HXF","SHP01","4","4","0","-2","2","CTRM0","LNRSCJ","0020","GUEST","2023-08-23 09:19:24"
"20230827","RTCJRS","1530","CB1W2","PLHP0","HXF","SHP01","4","5","0","-2","0","CTRM0","LNCJRS","1530","GUEST","2023-08-22 10:36:57"
"20230827","RTCJWD","1710","CB210","PLAG0","HXF","SHP03","0","-1","0","0","1","CTFL0","LNCJWD","1710","ddlmz82410","2023-08-22 16:47:03"
"20230827","RTCJWD","1710","CB210","PLHP0","HXF","SHP03","60","48","0","-5","17","CTFL0","LNCJWD","1710","GUEST","2023-08-22 19:49:03"
"20230827","RTWDCJ","0900","CB112","PLHP0","HXF","SHP03","4","2","0","-2","4","CTRM0","LNWDCJ","0900","GUEST","2023-08-22 00:10:56"
"20230827","RTWDCJ","1500","CBF00","PLTC0","HXF","SHP02","6","3","4","-2","0","CTRM0","LNWDCJ","1500","GUEST","2023-08-23 11:14:24"
"20230828","RTCJWD","1710","CB102","PLHP0","HXF","SHP03","16","6","0","-2","12","CTRM0","LNCJWD","1710","BATCH","2023-08-22 14:31:01"
"20230828","RTWDCJ","1500","CB210","PLHP0","HXF","SHP02","200","25","159","-2","18","CTFL0","LNWDCJ","1500","GUEST","2023-08-23 09:32:28"
"20230829","RTCJWD","1710","CB105","PLTC0","HXF","SHP03","15","6","0","-10","10","CTRM0","LNCJWD","1710","GUEST","2023-08-22 13:18:13"
"20230830","RTCJRS","1530","CB1W2","PLHP0","HXF","SHP01","4","4","0","-2","2","CTRM0","LNCJRS","1530","BATCH","2023-08-22 13:35:02"
"20230830","RTCJWD","1710","CB210","PLHP0","HXF","SHP03","60","22","20","-2","20","CTFL0","LNCJWD","1710","GUEST","2023-08-21 17:57:29"
"20230830","RTRSCJ","0020","CB102","PLHP0","HXF","SHP01","10","8","0","-2","4","CTRM0","LNRSCJ","0020","BATCH","2023-08-22 15:58:09"
"20230830","RTRSCJ","0020","CBC00","PLHP0","HXF","SHP01","20","7","0","-1","14","CTBD0","LNRSCJ","0020","ysksh","2023-08-22 13:01:19"
"20230831","RTWDCJ","0230","CB310","PLHP0","HXF","SHP02","350","10","280","-6","66","CTFL0","LNWDCJ","0230","GUEST","2023-08-22 17:58:41"
"20230831","RTWDCJ","0900","CB310","PLHP0","HXF","SHP03","120","11","24","-2","87","CTFL0","LNWDCJ","0900","GUEST","2023-08-23 10:31:19"
"20230831","RTWDCJ","1500","CB310","PLHP0","HXF","SHP02","350","34","280","-3","39","CTFL0","LNWDCJ","1500","BATCH","2023-08-23 11:17:37"
"20230901","RTCJWD","0720","CB210","PLHP0","HXF","SHP02","200","79","116","-3","8","CTFL0","LNCJWD","0720","GUEST","2023-08-23 10:03:57"
"20230901","RTWDCJ","1500","CB220","PLAG0","HXF","SHP02","10","5","0","-2","7","CTCH0","LNWDCJ","1500","dddurortjs","2023-08-22 17:59:33"
"20230902","RTWDCJ","0230","CB310","PLHP0","HXF","SHP03","120","41","24","-4","59","CTFL0","LNWDCJ","0230","BATCH","2023-08-23 07:54:55"
"20230903","RTCJRS","1530","CB102","PLHP0","HXF","SHP01","10","4","0","-2","8","CTRM0","LNCJRS","1530","BATCH","2023-08-22 15:58:09"
"20230903","RTWDCJ","1500","CB105","PLTC0","HXF","SHP03","15","8","5","-5","0","CTRM0","LNWDCJ","1500","GUEST","2023-08-23 09:46:49"
"20230903","RTWDCJ","1500","CB210","PLHP0","HXF","SHP03","60","35","0","-6","31","CTFL0","LNWDCJ","1500","GUEST","2023-08-22 06:55:34"
"20230905","RTCJWD","0720","CBB00","PLHP0","HXF","SHP03","220","3","130","-1","88","CTBD0","LNCJWD","0720","GUEST","2023-08-21 17:42:15"
"20230905","RTCJWD","1930","CB310","PLHP0","HXF","SHP03","120","12","24","-4","88","CTFL0","LNCJWD","1930","GUEST","2023-08-23 10:38:11"
"20230907","RTCJWD","0720","CB210","PLHP0","HXF","SHP03","60","10","20","-3","33","CTFL0","LNCJWD","0720","GUEST","2023-08-21 18:58:50"
"20230907","RTWDCJ","0230","CB310","PLHP0","HXF","SHP03","120","4","24","-3","95","CTFL0","LNWDCJ","0230","GUEST","2023-08-22 16:42:55"
"20230911","RTRSCJ","0020","CB102","PLHP0","HXF","SHP01","10","2","0","-2","10","CTRM0","LNRSCJ","0020","GUEST","2023-08-22 13:25:10"
"20230911","RTRSCJ","0020","CB310","PLHP0","HXF","SHP01","200","3","0","-3","200","CTFL0","LNRSCJ","0020","GUEST","2023-08-22 13:25:10"
"20230914","RTCJWD","0720","CB104","PLHP0","HXF","SHP03","8","8","0","-3","4","CTRM0","LNCJWD","0720","BATCH","2023-08-21 22:31:35"
"20230916","RTCJWD","0720","CB310","PLHP0","HXF","SHP03","120","30","24","-4","70","CTFL0","LNCJWD","0720","BATCH","2023-08-22 16:37:41"
"20230916","RTCJWD","0720","CBF00","PLHP0","HXF","SHP03","10","4","0","-2","8","CTRM0","LNCJWD","0720","GUEST","2023-08-22 15:53:25"
"20230917","RTWDCJ","1500","CB310","PLHP0","HXF","SHP03","120","40","1","-9","88","CTFL0","LNWDCJ","1500","BATCH","2023-08-22 16:37:41"
"20230920","RTWDCJ","1500","CBP15","PLHP0","HXF","SHP03","10","5","0","-2","10","CTRM0","LNWDCJ","1500","GUEST","2023-08-23 00:33:52"
"20230922","RTRSCJ","0020","CB210","PLHP0","HXF","SHP01","280","12","218","-6","56","CTFL0","LNRSCJ","0020","GUEST","2023-08-22 21:14:23"
"20230924","RTCJRS","1530","CB210","PLHP0","HXF","SHP01","280","5","218","-6","63","CTFL0","LNCJRS","1530","GUEST","2023-08-22 21:14:23"
"20230924","RTCJWD","1710","CB310","PLHP0","HXF","SHP03","120","8","24","-1","89","CTFL0","LNCJWD","1710","BATCH","2023-08-22 22:49:16"
"20230924","RTWDCJ","1500","CB310","PLHP0","HXF","SHP02","350","23","280","-2","49","CTFL0","LNWDCJ","1500","GUEST","2023-08-23 03:19:23"
"20230926","RTWDCJ","1500","CB310","PLHP0","HXF","SHP02","350","28","280","-2","44","CTFL0","LNWDCJ","1500","GUEST","2023-08-22 21:09:45"
"20230927","RTCJWD","1710","CB310","PLHP0","HXF","SHP03","111","30","24","-1","58","CTFL0","LNCJWD","1710","GUEST","2023-08-22 17:49:36"
"20230927","RTCJWD","1930","CBP10","PLHP0","HXF","SHP02","40","4","28","-1","9","CTFL0","LNCJWD","1930","BATCH","2023-08-22 16:21:15"
"20230928","RTWDCJ","0230","CB104","PLHP0","HXF","SHP02","36","44","0","-8","0","CTRM0","LNWDCJ","0230","GUEST","2023-08-22 22:08:33"
"20230929","RTCJWD","1710","CB310","PLHP0","HXF","SHP03","100","42","24","-1","35","CTFL0","LNCJWD","1710","GUEST","2023-08-23 10:00:23"
"20230929","RTRSCJ","0020","CB210","PLTC0","HXF","SHP01","33","2","32","-1","0","CTFL0","LNRSCJ","0020","ysgje","2023-08-22 17:56:52"
"20231001","RTCJRS","1530","CB210","PLTC0","HXF","SHP01","10","5","6","-1","0","CTFL0","LNCJRS","1530","GUEST","2023-08-22 15:40:30"
"20231001","RTCJRS","1530","CBC01","PLHP0","HXF","SHP01","11","12","0","-1","0","CTBD0","LNCJRS","1530","BATCH","2023-08-23 09:22:24"
"20231001","RTCJWD","1710","CB210","PLHP0","HXF","SHP03","64","57","0","8","-1","CTFL0","LNCJWD","1710","GUEST","2023-08-14 20:27:09"
"20231001","RTCJWD","1930","CB220","PLHP0","HXF","SHP02","71","72","0","-2","1","CTCH0","LNCJWD","1930","GUEST","2023-08-23 10:54:17"
"20231001","RTWDCJ","1500","CBP10","PLHP0","HXF","SHP02","49","12","28","-1","10","CTFL0","LNWDCJ","1500","hqwse","2023-08-23 11:15:11"
"20231002","RTCJWD","1930","CBP10","PLHP0","HXF","SHP02","40","21","11","-1","9","CTFL0","LNCJWD","1930","GUEST","2023-08-22 16:26:09"
"20231002","RTRSCJ","0020","CBC01","PLHP0","HXF","SHP01","10","4","1","-1","6","CTBD0","LNRSCJ","0020","GUEST","2023-08-21 22:37:00"
"20231002","RTRSCJ","0020","CBP10","PLHP0","HXF","SHP01","10","2","0","-1","9","CTFL0","LNRSCJ","0020","BATCH","2023-08-22 16:20:29"
"20231003","RTCJWD","1930","CB220","PLHP0","HXF","SHP02","104","20","0","-3","87","CTCH0","LNCJWD","1930","GUEST","2023-08-22 16:27:17"
"20231004","RTCJWD","1930","CBF00","PLHP0","HXF","SHP02","6","4","0","-2","4","CTRM0","LNCJWD","1930","BATCH","2023-08-22 14:18:29"
"20231007","RTWDCJ","0230","CBP10","PLHP0","HXF","SHP02","40","8","28","-1","5","CTFL0","LNWDCJ","0230","GUEST","2023-08-23 10:30:47"
"20231008","RTCJRS","1530","CBC00","PLHP0","HXF","SHP01","20","5","0","-1","16","CTBD0","LNCJRS","1530","GUEST","2023-08-22 20:16:38"
"20231009","RTCJWD","1710","CBB00","PLTC0","HXF","SHP03","10","36","0","-28","2","CTBD0","LNCJWD","1710","GUEST","2023-08-23 09:59:29"
"20231010","RTWDCJ","0900","CBP10","PLHP0","HXF","SHP03","25","6","10","-2","11","CTFL0","LNWDCJ","0900","BATCH","2023-08-21 22:48:52"
"20231013","RTCJWD","1710","CBP10","PLHP0","HXF","SHP03","25","8","10","-2","9","CTFL0","LNCJWD","1710","BATCH","2023-08-21 22:48:52"
"20231014","RTCJWD","0720","CBP10","PLHP0","HXF","SHP02","40","5","28","-1","8","CTFL0","LNCJWD","0720","GUEST","2023-08-23 10:30:47"
"20231015","RTWDCJ","1500","CB220","PLHP0","HXF","SHP02","120","7","0","-5","118","CTCH0","LNWDCJ","1500","GUEST","2023-08-22 10:35:43"
"20231015","RTWDCJ","1500","CBF00","PLHP0","HXF","SHP02","6","6","0","-2","2","CTRM0","LNWDCJ","1500","GUEST","2023-08-22 10:35:43"
"20231018","RTCJWD","1710","CB310","PLHP0","HXF","SHP03","120","13","24","-7","90","CTFL0","LNCJWD","1710","GUEST","2023-08-22 10:35:43"
"20231018","RTCJWD","1710","CBF00","PLHP0","HXF","SHP03","10","4","0","-2","8","CTRM0","LNCJWD","1710","GUEST","2023-08-22 10:35:43"
"20231021","RTWDCJ","0230","CB104","PLHP0","HXF","SHP02","36","9","4","-3","28","CTRM0","LNWDCJ","0230","BATCH","2023-08-22 12:04:49"
"20231023","RTCJWD","1710","CB104","PLHP0","HXF","SHP03","8","9","0","-3","4","CTRM0","LNCJWD","1710","BATCH","2023-08-22 12:04:49"
"20231027","RTWDCJ","0900","CB310","PLHP0","HXF","SHP03","120","38","24","-2","60","CTFL0","LNWDCJ","0900","GUEST","2023-08-23 11:21:17"
"20231031","RTCJWD","1710","CB210","PLHP0","HXF","SHP03","60","17","20","-6","29","CTFL0","LNCJWD","1710","BATCH","2023-08-21 22:54:41"
"20231031","RTCJWD","1710","CB310","PLHP0","HXF","SHP03","120","20","24","-15","91","CTFL0","LNCJWD","1710","GUEST","2023-08-22 08:56:38"
"20231102","RTWDCJ","0900","CB310","PLHP0","HXF","SHP03","120","30","24","-15","81","CTFL0","LNWDCJ","0900","BATCH","2023-08-23 08:35:46"
"20231106","RTCJWD","1710","CB310","PLHP0","HXF","SHP03","120","30","24","-15","81","CTFL0","LNCJWD","1710","BATCH","2023-08-23 08:35:46"
